"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005004387280329","https://ae04.alicdn.com/kf/S9d8497532fa447978962d4e87c446975X.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100046853062.mp4","2022 Hot 35 KM/H RC High Speed Racing Boat Speedboat Remote Control Ship Water Game Kids Toys Children Gift remote control boat","USD 39.40","USD 31.52","20%","USD","7","USD 2.21","61","100.0%","https://s.click.aliexpress.com/e/_DDhoJuL"
"1005004343341163","https://ae04.alicdn.com/kf/Sea195682793f4e4fb4b899c33a46c044D.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100038675897.mp4","Mini Drone Rc Quadcopter 4K Professional HD Dual Camera 1080P WIFI FPV Aerial Photography Helicopter Dron Toys For Boy Gift","USD 16.27","USD 11.22","31%","USD","7","USD 0.79","55","100.0%","https://s.click.aliexpress.com/e/_DFyW7ox"
"1005001917331787","https://ae04.alicdn.com/kf/H26cb723df47144db88d53e567dc840872.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/308350704413.mp4","45 CM Dinosaur Spray Dragon Roar Walking Electric Remote Control Simulation Animal Model Kids Toys Children Boys Birthday Gift","USD 61.52","USD 39.99","35%","USD","7","USD 2.80","123","96.9%","https://s.click.aliexpress.com/e/_Dl9L70j"
"1005004561553326","https://ae04.alicdn.com/kf/S2ac2fb6375e74eedaf95a33626d0e125D.jpg",,"Remote Control Mini Drone Flying Helicopter Infraed Induction Kid Toys Aircraft LED Drone Flying Suspension Induction Helicopter","USD 8.68","USD 4.34","50%","USD","7","USD 0.30","75","100.0%","https://s.click.aliexpress.com/e/_DBwjXSJ"
"1005004560278238","https://ae04.alicdn.com/kf/S5d4cc955d46d4eb287f3859699b6b697y.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100070230413.mp4","1:16 Lighting Spray Remote Control Car GTR Sports Car 4WD High Speed AE86 Drift Rc Car 2.4G Wireless Remote Control Car Kids Toy","USD 80.37","USD 35.36","56%","USD","8.0","USD 2.83","15","100.0%","https://s.click.aliexpress.com/e/_DmDyOXN"
"32786710322","https://ae04.alicdn.com/kf/H4172c36ef82440728f0c2ebda7e47ea0E.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/337032403242.mp4","Fast delivery Version BB-8 Ball 20.5 cm RC BB 8 Droid Robot 2.4G Remote Control BB8 Intelligent Robot Action Figure Model RC Toy","USD 66.09","USD 31.72","52%","USD","8.0","USD 2.54","68","92.6%","https://s.click.aliexpress.com/e/_DBbNssP"
"1005002636697711","https://ae04.alicdn.com/kf/H7506f97594544f4aaa7225e916f7a23cD.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/284242747201.mp4","RC helicopter Military Fight Super Cool 3.5CH Remote Control war Aircraft Model RC Drone Helicopter Quadcopter Toys For kids","USD 28.55","USD 20.56","28%","USD","7","USD 1.44","25","56.0%","https://s.click.aliexpress.com/e/_DliaVKB"
"1005003653177977","https://ae04.alicdn.com/kf/H3a037b2b1a244fc6b6faecb164ceb482e.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/342645554610.mp4","2022 NEW WLtoys 1/28 K969 284131 RC Car 2.4G Remote Control 4WD Offroad Race Car 30Km/h High Speed Competition Drifting Car Toys","USD 144.78","USD 43.43","70%","USD","10.0","USD 4.34","60","92.5%","https://s.click.aliexpress.com/e/_DmJ8Per"
"1005002928969747","https://ae04.alicdn.com/kf/H60ef18080cf24442a293438db32900afs.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/316298364353.mp4","JTY Toys 50km/h High Speed Drift RC Car 4x4 Remote Controlled Cars Waterproof Radio Off-Road Trucks Electric Car For Children","USD 123.05","USD 70.14","43%","USD","7","USD 4.91","38","94.5%","https://s.click.aliexpress.com/e/_DB867BD"
"1005002517157842","https://ae04.alicdn.com/kf/Hf907e75e3d8d4d6c86a136a9a3099599G.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/315569186770.mp4","Mini RC Submarine 6 Channel Remote Control Boat Ship Waterproof Diving Toy Simulation Model Gift For Kids","USD 36.98","USD 18.49","50%","USD","7","USD 1.29","41","100.0%","https://s.click.aliexpress.com/e/_DCiqUht"
"32880958152","https://ae04.alicdn.com/kf/S1fad2ce89ca64976b2236b0283920e51M.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/349306007592.mp4","WLtoys 284131 144010 RC Car 75KM/H High Speed Off-Road 2.4G Brushless 4WD Electric Remote Control Drift Toys For Children Racing","USD 108.58","USD 54.29","50%","USD","8.0","USD 4.34","306","100.0%","https://s.click.aliexpress.com/e/_DFlH4VZ"
"1005004295415769","https://ae04.alicdn.com/kf/S4bc302e56d654b629285dc3add67a990B.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100037991087.mp4","RC Tractor Remote Control Excavator Radio Controlled Car Caterpillar Tractor Digger Truck Engineering Building Construction Toys","USD 11.05","USD 5.52","50%","USD","7","USD 0.39","55","95.0%","https://s.click.aliexpress.com/e/_Dk31mpv"
"1005003179115181","https://ae04.alicdn.com/kf/S87e881490a16474ba54a787ff05a4d85c.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/351242578306.mp4","Remote Control Alligator With LED Lights Walking Roaring Sound Electric Crocodile RC Toy Kids Gifts For Boys Girls Toddlers 3-12","USD 31.99","USD 20.79","35%","USD","7","USD 1.46","25","100.0%","https://s.click.aliexpress.com/e/_DlGl2eb"
"1005001994524848","https://ae04.alicdn.com/kf/Hd8b256394340421b8c2d005e9c79387dh.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100066564374.mp4","RC BB 8 Robot 2.4G Remote Control With Sound Action Figure Upgrade Intelligent BB8 Ball Droid Robot BB-8 Model Toys For Children","USD 62.99","USD 29.61","53%","USD","8.0","USD 2.37","111","91.4%","https://s.click.aliexpress.com/e/_DdlT7ll"
